año,mes,total,ushuaia,almanza
2008,Julio,4723.3,4723.3,0
2008,Agosto,9685,9685,0
2008,Septiembre,1548.5,1548.5,0
2008,Octubre,6495.2,6495.2,0
2008,Noviembre,3372.4,3372.4,0
2008,Diciembre,13759.8,13759.8,0
2009,Enero,3548.6,3548.6,0
2009,Febrero,6758.2,6758.2,0
2009,Marzo,6387.1,6387.1,0
2009,Abril,13614.5,13614.5,0
2009,Mayo,10589.1,10589.1,0
2009,Junio ,17406.3,17406.3,0
2009,Julio,10218.5,10218.5,0
2009,Agosto,464.9,464.9,0
2009,Septiembre,12704.9,12704.9,0
2009,Octubre,3608.5,3608.5,0
2009,Noviembre,5675.7,5675.7,0
2009,Diciembre,10599.2,10599.2,0
2010,Enero,1404.9,1404.9,0
2010,Febrero,5011.3,5011.3,0
2010,Marzo,6338.5,6338.5,0
2010,Abril,5436.4,5436.4,0
2010,Mayo,21113.1,21113.1,0
2010,Junio ,4809.8,4809.8,0
2010,Julio,7245.2,7245.2,0
2010,Agosto,4248.2,4248.2,0
2010,Septiembre,1886.2,1886.2,0
2010,Octubre,8533.9,8533.9,0
2010,Noviembre,4057.9,4057.9,0
2010,Diciembre,9608.3,9608.3,0
2011,Enero,285.8,285.8,0
2011,Febrero,5455.2,5455.2,0
2011,Marzo,3620,3620,0
2011,Abril,12230.7,12230.7,0
2011,Mayo,4841.9,4841.9,0
2011,Junio ,10543.8,10543.8,0
2011,Julio,5352.4,5352.4,0
2011,Agosto,3771.5,3771.5,0
2011,Septiembre,4932.5,4932.5,0
2011,Octubre,2054.1,2054.1,0
2011,Noviembre,5331.2,5331.2,0
2011,Diciembre,4752.8,4752.8,0
2012,Enero,478.062,478.062,0
2012,Febrero,1876.412,1876.412,0
2012,Marzo,12822.905,12822.905,0
2012,Abril,2720.383,2720.383,0
2012,Mayo,17040.19,17040.19,0
2012,Junio ,2788.66,2788.66,0
2012,Julio,8150.919,8150.919,0
2012,Agosto,1216.439,1216.439,0
2012,Septiembre,5999.357,5999.357,0
2012,Octubre,301.065,301.065,0
2012,Noviembre,4903.826,4903.826,0
2012,Diciembre,10917.149,10917.149,0
2013,Enero,4936.98,4936.98,0
2013,Febrero,592.799,592.799,0
2013,Marzo,7820.52,7820.52,0
2013,Abril,5160.258,5160.258,0
2013,Mayo,2800.544,2800.544,0
2013,Junio ,4486.772,4486.772,0
2013,Julio,3289.623,3289.623,0
2013,Agosto,2603.437,2603.437,0
2013,Septiembre,0,0,0
2013,Octubre,3796.491,3785.108,11.383
2013,Noviembre,1663.147,1663.147,0
2013,Diciembre,5345.997,5345.997,0
2014,Enero,661.027,661.027,0
2014,Febrero,3367.881,3367.881,0
2014,Marzo,6571.701,6571.701,0
2014,Abril,1968.882,1966.737,2.145
2014,Mayo,9581.497,9581.497,0
2014,Junio ,257.113,257.113,0
2014,Julio,6301.806,6301.806,0
2014,Agosto,0,0,0
2014,Septiembre,1411.1,1411.1,0
2014,Octubre,4096.305,4091.4,4.905
2014,Noviembre,5874.162,5874.162,0
2014,Diciembre,6159.237,6159.237,0
2015,Enero,2711.915,2711.915,0
2015,Febrero,2571.039,2571.039,0
2015,Marzo,5211.664,5211.664,0
2015,Abril,5324.631,5324.631,0
2015,Mayo,6223.979,6223.979,0
2015,Junio ,3952.169,3952.169,0
2015,Julio,3965.183,3965.183,0
2015,Agosto,5189.13,5189.13,0
2015,Septiembre,0,0,0
2015,Octubre,5341.99,5341.99,0
2015,Noviembre,6618.645,6618.645,0
2015,Diciembre,6515.185,6515.185,0
2016,Enero,1949.441,1949.441,0
2016,Febrero,5518.072,5518.072,0
2016,Marzo,5281.717,5281.717,0
2016,Abril,0,0,0
2016,Mayo,5945.044,5945.044,0
2016,Junio ,1199.231,1199.231,0
2016,Julio,4744.721,4744.721,0
2016,Agosto,3769.109,3769.109,0
2016,Septiembre,0,0,0
2016,Octubre,7948.846,7948.846,0
2016,Noviembre,1847.885,1847.885,0
2016,Diciembre,9760.856,9753.638,7.218
2017,Enero,2112.171,2112.171,0
2017,Febrero,5171.536,5171.536,0
2017,Marzo,3644.113,3644.113,0
2017,Abril,1103.369,1103.369,0
2017,Mayo,7141.217,7141.217,0
2017,Junio ,245.308,245.308,0
2017,Julio,4971.228,4971.228,0
2017,Agosto,84.675,84.675,0
2017,Septiembre,42.077,42.077,0
2017,Octubre,3876.973,3876.973,0
2017,Noviembre,5369.489,5369.489,0
2017,Diciembre,7734.174,7734.174,0
2018,Enero,3090.181,3090.181,0
2018,Febrero,1714.398,1714.398,0
2018,Marzo,4214.816,4214.816,0
2018,Abril,2860.438,2860.438,0
2018,Mayo,4607.804,4607.804,0
2018,Junio ,8346.28,8346.28,0
2018,Julio,2083.783,2083.783,0
2018,Agosto,5481.926,5481.926,0
2018,Septiembre,2458.331,2458.331,0
2018,Octubre,8858.055,8858.055,0
2018,Noviembre,329.421,329.421,0
2018,Diciembre,9646.272,9646.272,0
2019,Enero,4772.942,4772.942,0
2019,Febrero,2895.473,2895.473,0
2019,Marzo,5860.754,5860.754,0
2019,Abril,7260.54,7260.54,0
2019,Mayo,1942.089,1942.089,0
2019,Junio ,8325.205,8325.205,0
2019,Julio,762.135,762.135,0
2019,Agosto,5000.183,5000.183,0
2019,Septiembre,135.884,135.884,0
2019,Octubre,431.289,431.289,0
2019,Noviembre,4819.454,4819.454,0
2019,Diciembre,7318.417,7318.417,0
2020,Enero,60.445,60.445,0
2020,Febrero,4856.058,4856.058,
2020,Marzo,7787.138,7787.138,0
2020,Abril,0,0,0
2020,Mayo,4897.904,4897.904,0
2020,Junio ,1641.85,1641.85,0
2020,Julio,4607.506,4607.506,0
2020,Agosto,1560.046,1560.046,0
2020,Septiembre,6874.168,6874.168,0
2020,Octubre,6603.073,6603.073,0
2020,Noviembre,5625.945,5625.945,0
2020,Diciembre,5152.475,5152.475,0
2021,Enero,6392.439,6392.439,0
2021,Febrero,3062.666,3062.666,0
2021,Marzo,4275.632,4275.632,0
2021,Abril,3803.467,3803.467,0
2021,Mayo,6634.102,6634.102,0
2021,Junio ,4317.534,4258.834,58.7
2021,Julio,834.527,834.527,0
2021,Agosto, -, -,0
